"","OCC_CODE","OCC_TITLE","max_State","max_Wage","min_State","min_Wage","max_adj_State","max_adj_Wage","min_adj_State","min_adj_Wage"
"606","51-0000","Production Occupations","District of Columbia",49880,"Arkansas",28760,"Wyoming",50363.775,"California",26655.412
"607","51-1011","First-Line Supervisors of Production and Operating Workers","Wyoming",79430,"Arkansas",47530,"Wyoming",82567.485,"Hawaii",43974.432
"608","51-2011","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Wisconsin",51650,"Idaho",29710,"Wisconsin",55301.655,"Idaho",31810.497
"609","51-2021","Coil Winders, Tapers, and Finishers","Louisiana",44420,"South Carolina",22050,"Louisiana",48599.922,"California",21984.487
"610","51-2022","Electrical and Electronic Equipment Assemblers","Vermont",45010,"Mississippi",24210,"Vermont",44474.381,"New York",25349.919
"611","51-2023","Electromechanical Equipment Assemblers","Kentucky",44990,"Nevada",26380,"Kentucky",50721.726,"California",25810.197
"612","51-2031","Engine and Other Machine Assemblers","Michigan",52750,"Arkansas",24320,"West Virginia",58854.768,"Arkansas",27795.328
"613","51-2041","Structural Metal Fabricators and Fitters","Maine",53020,"South Dakota",31720,"Maine",54605.298,"Vermont",32785.158
"614","51-2091","Fiberglass Laminators and Fabricators","Alaska",52280,"Virginia",23490,"West Virginia",57864.856,"Virginia",22895.703
"615","51-2092","Team Assemblers","Kentucky",33200,"West Virginia",22580,"Kentucky",37429.68,"Hawaii",19504.236
"616","51-2099","Assemblers and Fabricators, All Other","Alaska",36450,"Utah",22620,"Alaska",34485.345,"Hawaii",21987.216
"617","51-3011","Bakers","District of Columbia",35860,"Arkansas",19260,"Nevada",32752,"New York",20656.77
"618","51-3021","Butchers and Meat Cutters","Alaska",43350,"Arkansas",23310,"Alaska",41013.435,"California",23852.857
"619","51-3022","Meat, Poultry, and Fish Cutters and Trimmers","Maryland",40700,"Alaska",19560,"Maryland",36898.62,"Alaska",18505.716
"620","51-3023","Slaughterers and Meat Packers","North Dakota",36540,"South Carolina",19060,"North Dakota",39934.566,"New York",17303.286
"621","51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","North Carolina",50700,"Arkansas",20290,"North Carolina",55288.35,"California",23007.642
"622","51-3092","Food Batchmakers","Iowa",38340,"West Virginia",18630,"Iowa",42457.716,"Hawaii",18750.78
"623","51-3093","Food Cooking Machine Operators and Tenders","Georgia",38600,"North Carolina",18820,"Georgia",41958.2,"Hawaii",18023.01
"624","51-3099","Food Processing Workers, All Other","Vermont",30450,"Hawaii",20720,"Kansas",31707.9,"Hawaii",17740.464
"625","51-4011","Computer-Controlled Machine Tool Operators, Metal and Plastic","Vermont",55190,"New Mexico",24700,"Vermont",54533.239,"New Mexico",25999.22
"626","51-4012","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","Washington",84370,"Idaho",28740,"Washington",81282.058,"Idaho",30771.918
"627","51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","South Carolina",48410,"Florida",28090,"South Carolina",53493.05,"New Jersey",24909.368
"628","51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Maryland",52050,"Michigan",25770,"Kentucky",58004.73,"Michigan",27385.779
"629","51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Indiana",52760,"California",30250,"Indiana",57724.716,"New Jersey",26909.454
"630","51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Washington",36320,"Hawaii",22840,"West Virginia",39877.705,"Hawaii",19555.608
"631","51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Alabama",50640,"Florida",26420,"Alabama",57678.96,"New Jersey",25756.566
"632","51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Oregon",42510,"Kentucky",23390,"South Carolina",46155.85,"New Jersey",25197.59
"633","51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Oregon",50980,"South Dakota",30430,"Oregon",51494.898,"New Jersey",28961.944
"634","51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Maryland",48360,"Mississippi",24910,"West Virginia",52544.079,"Mississippi",28731.194
"635","51-4041","Machinists","Hawaii",59540,"Nevada",36280,"Delaware",52446.016,"California",35445.648
"636","51-4051","Metal-Refining Furnace Operators and Tenders","Nevada",55200,"Nebraska",29310,"Alabama",60207.54,"Nebraska",32352.378
"637","51-4052","Pourers and Casters, Metal","New York",42750,"California",25910,"Arkansas",46390.311,"California",23052.127
"638","51-4061","Model Makers, Metal and Plastic","Michigan",66320,"Kansas",27360,"Michigan",70478.264,"Kansas",30164.4
"639","51-4062","Patternmakers, Metal and Plastic","Kansas",53610,"California",23970,"Kansas",59105.025,"California",21326.109
"640","51-4071","Foundry Mold and Coremakers","Massachusetts",43020,"South Carolina",23610,"Minnesota",43094.676,"South Carolina",26089.05
"641","51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Hawaii",43520,"Mississippi",22510,"West Virginia",46807.089,"Delaware",24005.044
"642","51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Alaska",47400,"Georgia",28250,"Rhode Island",46617.332,"Colorado",28804.152
"643","51-4111","Tool and Die Makers","Washington",69090,"Louisiana",40740,"Washington",66561.306,"Maryland",43308.282
"644","51-4121","Welders, Cutters, Solderers, and Brazers","Alaska",70410,"Vermont",33520,"Alaska",66614.901,"Vermont",33121.112
"645","51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Washington",44700,"New Hampshire",30340,"North Dakota",48655.908,"New Hampshire",28841.204
"646","51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Virginia",46580,"Missouri",29650,"Alabama",50696.89,"Utah",31339.36
"647","51-4192","Layout Workers, Metal and Plastic","Hawaii",70330,"New York",28190,"Kansas",67715.55,"New York",24364.617
"648","51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","North Dakota",39840,"Tennessee",25890,"North Dakota",43541.136,"New Jersey",24673.55
"649","51-4194","Tool Grinders, Filers, and Sharpeners","Washington",50190,"Utah",23130,"Washington",48353.046,"Utah",23844.717
